Event Date,Event Time,Timezone,Fleet,Sponsoring Club,Series,Event,Race Type,Location,Website Link
2026-09-04,18:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Long Distance,Long Distance Series - Race 7 Tri-State (Chicago to St Joe),Distance (port-to-port),Chicago IL USA,https://morfracing.net/wpmocha/
2026-09-19,11:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Commodores Cup,Commodores Cup - Race 1,,Chicago IL USA,https://morfracing.net/wpmocha/
2026-09-19,,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Commodores Cup,Commodores Cup - Race 2,,Chicago IL USA,https://morfracing.net/wpmocha/
2026-09-19,,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Commodores Cup,Commodores Cup - Race 3,,Chicago IL USA,https://morfracing.net/wpmocha/
2026-09-13,11:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Commodores Cup,Commodores Cup - Makeup date,,Chicago IL USA,https://morfracing.net/wpmocha/
2026-09-26,11:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Four Crib Fiasco,Four Crib Fiasco,,Chicago IL USA,https://morfracing.net/wpmocha/
2026-09-27,11:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF MORF Open,MORF Open - Race 1,,Chicago IL USA,https://morfracing.net/wpmocha/
2026-09-27,,America/Chicago,MORF,Midwest Open Racing Fleet,MORF MORF Open,MORF Open - Race 1 Area-III,,Chicago IL USA,https://morfracing.net/wpmocha/
2026-09-27,,America/Chicago,MORF,Midwest Open Racing Fleet,MORF MORF Open,MORF Open - Race 2,,Chicago IL USA,https://morfracing.net/wpmocha/
2026-09-27,,America/Chicago,MORF,Midwest Open Racing Fleet,MORF MORF Open,MORF Open - Race 2 Area-III,,Chicago IL USA,https://morfracing.net/wpmocha/
2026-09-27,,America/Chicago,MORF,Midwest Open Racing Fleet,MORF MORF Open,MORF Open - Race 3,,Chicago IL USA,https://morfracing.net/wpmocha/
2026-09-27,,America/Chicago,MORF,Midwest Open Racing Fleet,MORF MORF Open,MORF Open - Race 3 Area-III,,Chicago IL USA,https://morfracing.net/wpmocha/
